COUNTY,Cases,Deaths,Population
Alcona,29,1,10353
Alger,17,0,9151
Allegan,564,6,116143
Alpena,129,13,28520
Antrim,42,0,23206
Arenac,48,3,15070
Baraga,5,0,8421
Barry,197,2,60540
Bay,704,35,104104
Benzie,36,1,17615
Berrien,1453,69,154133
Branch,379,2,43513
Calhoun,835,43,134212
Cass,359,15,51523
Charlevoix,53,2,26188
Cheboygan,56,2,25418
Chippewa,44,0,37629
Clare,80,3,30651
Clinton,436,13,78389
Crawford,109,5,13892
Delta,113,3,36026
Dickinson,59,2,25439
Eaton,473,8,109456
Emmet,74,2,33104
Genesee,3733,298,407875
Gladwin,66,2,25279
Gogebic,133,1,15061
Grand Traverse,237,5,92181
Gratiot,165,15,40916
Hillsdale,282,25,45757
Houghton,53,0,36070
Huron,170,4,31349
Ingham,1610,33,290587
Ionia,298,7,64300
Iosco,136,12,25197
Iron,21,1,11152
Isabella,224,9,70688
Jackson,737,35,158636
Kalamazoo,1728,84,262745
Kalkaska,56,4,17585
Kent,7743,157,648121
Keweenaw,3,0,2111
Lake,28,0,11852
Lapeer,491,33,88038
Leelanau,74,0,21652
Lenawee,470,12,98381
Livingston,905,28,189754
Luce,15,0,6338
Mackinac,27,0,10780
Macomb,12021,955,870325
Manistee,42,1,24457
Marquette,194,11,66686
Mason,104,0,28954
Mecosta,73,2,43251
Menominee,176,0,23074
Midland,357,10,83355
Missaukee,42,1,15028
Monroe,1056,25,149727
Montcalm,164,2,63413
Montmorency,8,0,9265
Muskegon,1377,63,173297
Newaygo,264,0,48366
Oakland,16378,1140,1253185
Oceana,485,6,26416
Ogemaw,54,3,20898
Ontonagon,23,0,5877
Osceola,71,0,23290
Oscoda,26,1,8248
Otsego,136,11,24490
Ottawa,1910,59,286558
Presque Isle,21,1,12714
Roscommon,57,2,23851
Saginaw,2158,128,191821
Sanilac,113,6,41295
Schoolcraft,13,0,8048
Shiawassee,354,28,68340
St Clair,841,53,159247
St Joseph,622,10,60836
Tuscola,383,29,52939
Van Buren,497,13,75358
Washtenaw,2665,114,367000
Wayne,27062,2837,1757299
Wexford,71,4,33256
